class_name,repo,file_path,n_methods,Logical Lines,Distinct Operators,Distinct Operands,Total Operators,Total Operands,Cyclomatic Complexity,project,label_god_class,label_data_class,label_long_method,label_feature_envy
PasswordUtil,clean_projects,/content/student_repos/clean_projects/PasswordUtil.java,7,43,10,12,104,155,6,PasswordUtil.java,0,0,0,0
menu,clean_projects,/content/student_repos/clean_projects/menu.java,1,76,12,15,149,223,17,menu.java,0,0,0,0
CaesarCipher,clean_projects,/content/student_repos/clean_projects/CaesarCipher.java,1,37,9,11,87,130,8,CaesarCipher.java,0,0,0,0
assign3_ifage,clean_projects,/content/student_repos/clean_projects/assign3_ifage.java,1,31,9,11,74,111,11,assign3_ifage.java,0,0,1,0
bank account,clean_projects,/content/student_repos/clean_projects/bank account.java,6,34,9,11,81,121,2,bank account.java,0,0,0,0
SudokuPuzzle,clean_projects,/content/student_repos/clean_projects/SudokuPuzzle.java,4,124,18,22,322,483,9,SudokuPuzzle.java,0,0,1,0
Gessgame,clean_projects,/content/student_repos/clean_projects/Gessgame.java,1,27,8,10,72,107,5,Gessgame.java,0,0,0,0
Jarvis_Program_Using_Switchcase,clean_projects,/content/student_repos/clean_projects/Jarvis_Program_Using_Switchcase.java,6,64,11,14,130,195,11,Jarvis_Program_Using_Switchcase.java,0,0,0,0
Alaram_clock,clean_projects,/content/student_repos/clean_projects/Alaram_clock.java,1,7,4,5,19,28,2,Alaram_clock.java,0,0,0,0
Heap,clean_projects,/content/student_repos/clean_projects/Heap.java,9,81,15,18,228,342,6,Heap.java,0,0,1,0
assign1_printer,clean_projects,/content/student_repos/clean_projects/assign1_printer.java,1,14,6,7,33,50,1,assign1_printer.java,0,0,0,0
numberGuessingGame,clean_projects,/content/student_repos/clean_projects/numberGuessingGame.java,1,16,7,8,48,72,4,numberGuessingGame.java,0,0,0,0
puzzle_awt,clean_projects,/content/student_repos/clean_projects/puzzle_awt.java,3,168,23,28,537,805,43,puzzle_awt.java,0,0,1,0
AirlineReservationSystem,clean_projects,/content/student_repos/clean_projects/AirlineReservationSystem.java,14,106,15,19,239,359,5,AirlineReservationSystem.java,0,0,0,0
firstNonDuplicateChar,clean_projects,/content/student_repos/clean_projects/firstNonDuplicateChar.java,2,45,11,14,132,197,18,firstNonDuplicateChar.java,0,0,1,0
Number_Gusses,clean_projects,/content/student_repos/clean_projects/Number_Gusses.java,4,32,8,10,71,106,4,Number_Gusses.java,0,0,0,0
Inheritance,clean_projects,/content/student_repos/clean_projects/Inheritance.java,5,21,7,8,43,64,1,Inheritance.java,0,0,0,0
greet,clean_projects,/content/student_repos/clean_projects/greet.java,3,23,8,9,60,89,1,greet.java,0,0,0,0
CreditCardTester,clean_projects,/content/student_repos/clean_projects/CreditCardTester.java,1,33,9,11,76,115,10,CreditCardTester.java,0,0,1,0
WindowUtilities,clean_projects,/content/student_repos/clean_projects/WindowUtilities.java,1,10,4,5,15,22,2,WindowUtilities.java,0,0,0,0
finalVelocity3524,clean_projects,/content/student_repos/clean_projects/finalVelocity3524.java,1,14,7,9,54,82,1,finalVelocity3524.java,0,0,0,0
N-Queen,clean_projects,/content/student_repos/clean_projects/N-Queen.java,5,58,13,16,166,248,9,N-Queen.java,0,0,1,0
chess,clean_projects,/content/student_repos/clean_projects/chess.java,9,82,16,20,268,402,5,chess.java,0,0,0,0
DialogViewer,clean_projects,/content/student_repos/clean_projects/DialogViewer.java,1,5,4,5,15,22,1,DialogViewer.java,0,0,0,0
SimpleBankingSystem,clean_projects,/content/student_repos/clean_projects/SimpleBankingSystem.java,4,53,12,14,134,200,6,SimpleBankingSystem.java,0,0,1,0
KalkulatorBMI,clean_projects,/content/student_repos/clean_projects/KalkulatorBMI.java,1,25,9,11,82,122,2,KalkulatorBMI.java,0,0,0,0
NQueens,clean_projects,/content/student_repos/clean_projects/NQueens.java,4,54,12,15,143,215,9,NQueens.java,0,0,0,0
Guess,clean_projects,/content/student_repos/clean_projects/Guess.java,1,51,12,15,140,211,6,Guess.java,0,0,0,0
Matrix_add,clean_projects,/content/student_repos/clean_projects/Matrix_add.java,1,31,11,14,123,184,7,Matrix_add.java,0,0,0,0
BankApplication,clean_projects,/content/student_repos/clean_projects/BankApplication.java,6,94,15,19,240,361,7,BankApplication.java,0,0,1,0
FibonacciGenerator,clean_projects,/content/student_repos/clean_projects/FibonacciGenerator.java,2,21,8,10,67,100,4,FibonacciGenerator.java,0,0,0,0
MonthlyQuarterlySalesReport,clean_projects,/content/student_repos/clean_projects/MonthlyQuarterlySalesReport.java,1,23,10,12,93,139,6,MonthlyQuarterlySalesReport.java,0,0,0,0
book,clean_projects,/content/student_repos/clean_projects/book.java,17,58,10,12,101,152,1,book.java,0,1,0,0
longestpalindrome,clean_projects,/content/student_repos/clean_projects/longestpalindrome.java,1,27,9,11,80,121,9,longestpalindrome.java,0,0,1,0
AwtMouseListener,clean_projects,/content/student_repos/clean_projects/AwtMouseListener.java,7,27,7,9,54,82,1,AwtMouseListener.java,0,0,0,0
WeightConverter,clean_projects,/content/student_repos/clean_projects/WeightConverter.java,1,25,8,10,70,106,3,WeightConverter.java,0,0,0,0
tik tak toe,clean_projects,/content/student_repos/clean_projects/tik tak toe.java,3,122,17,21,282,422,15,tik tak toe.java,0,0,1,0
studentGrade3524,clean_projects,/content/student_repos/clean_projects/studentGrade3524.java,1,31,12,15,142,213,15,studentGrade3524.java,0,0,0,0
Library Catalog System,clean_projects,/content/student_repos/clean_projects/Library Catalog System.java,6,55,10,13,106,158,8,Library Catalog System.java,0,0,1,0
SimpleCalculator,clean_projects,/content/student_repos/clean_projects/SimpleCalculator.java,1,36,9,11,87,130,8,SimpleCalculator.java,0,0,0,0
Temp3524,clean_projects,/content/student_repos/clean_projects/Temp3524.java,1,10,6,8,38,58,1,Temp3524.java,0,0,0,0
HRCodes,clean_projects,/content/student_repos/clean_projects/HRCodes.java,0,11,2,22,15,26,2,HRCodes.java,0,0,0,0
Player,clean_projects,/content/student_repos/clean_projects/Player.java,3,50,11,13,114,171,11,Player.java,0,0,1,0
pattern,clean_projects,/content/student_repos/clean_projects/pattern.java,2,18,6,8,42,64,4,pattern.java,0,0,0,0
LongestCommonSubsequence,clean_projects,/content/student_repos/clean_projects/LongestCommonSubsequence.java,2,22,9,12,89,134,5,LongestCommonSubsequence.java,0,0,0,0
RectangleViewer,clean_projects,/content/student_repos/clean_projects/RectangleViewer.java,1,9,5,6,26,38,1,RectangleViewer.java,0,0,0,0
Minesweeper,clean_projects,/content/student_repos/clean_projects/Minesweeper.java,6,66,16,19,244,367,10,Minesweeper.java,0,0,0,0
calander,clean_projects,/content/student_repos/clean_projects/calander.java,1,10,7,8,45,67,1,calander.java,0,0,0,0
Main,clean_projects,/content/student_repos/clean_projects/Main.java,0,2,1,1,0,1,1,Main.java,0,0,0,0
Scientific_Calculator,clean_projects,/content/student_repos/clean_projects/Scientific_Calculator.java,6,70,13,15,158,238,10,Scientific_Calculator.java,0,0,0,0
HRClient,clean_projects,/content/student_repos/clean_projects/HRClient.java,1,82,14,17,184,275,21,HRClient.java,0,0,1,0
SparseMatrix,clean_projects,/content/student_repos/clean_projects/SparseMatrix.java,1,35,10,13,106,159,9,SparseMatrix.java,0,0,1,0
displayImage,clean_projects,/content/student_repos/clean_projects/displayImage.java,2,6,4,5,14,22,1,displayImage.java,0,0,0,0
HRDepartment,clean_projects,/content/student_repos/clean_projects/HRDepartment.java,4,49,11,13,120,179,3,HRDepartment.java,0,0,0,0
4sum,clean_projects,/content/student_repos/clean_projects/4sum.java,1,28,9,11,86,128,6,4sum.java,0,0,0,0
Knapsack_algo,clean_projects,/content/student_repos/clean_projects/Knapsack_algo.java,3,39,12,15,155,232,6,Knapsack_algo.java,0,0,0,0
heap_sort,clean_projects,/content/student_repos/clean_projects/heap_sort.java,3,37,11,13,119,179,6,heap_sort.java,0,0,0,0
RomanToInteger,clean_projects,/content/student_repos/clean_projects/RomanToInteger.java,1,20,9,11,78,116,3,RomanToInteger.java,0,0,0,0
Connect4Grid,clean_projects,/content/student_repos/clean_projects/Connect4Grid.java,0,15,1,22,5,26,1,Connect4Grid.java,0,0,0,0
guessanumber,clean_projects,/content/student_repos/clean_projects/guessanumber.java,2,31,8,10,71,106,3,guessanumber.java,0,0,0,0
Count2,clean_projects,/content/student_repos/clean_projects/Count2.java,1,30,9,11,84,126,13,Count2.java,0,0,0,0
RTO_number_plate_generation,clean_projects,/content/student_repos/clean_projects/RTO_number_plate_generation.java,1,32,9,12,90,134,4,RTO_number_plate_generation.java,0,0,0,0
Password Manager,clean_projects,/content/student_repos/clean_projects/Password Manager.java,3,41,9,11,88,131,7,Password Manager.java,0,0,0,0
OnlineJavaTest,clean_projects,/content/student_repos/clean_projects/OnlineJavaTest.java,5,170,23,29,546,818,12,OnlineJavaTest.java,0,0,0,0
BasicTable,clean_projects,/content/student_repos/clean_projects/BasicTable.java,1,10,6,7,33,50,2,BasicTable.java,0,0,0,0
assign2_printing current date,clean_projects,/content/student_repos/clean_projects/assign2_printing current date.java,1,6,4,5,17,25,1,assign2_printing current date.java,0,0,0,0
DialogChoice,clean_projects,/content/student_repos/clean_projects/DialogChoice.java,1,9,5,7,30,44,1,DialogChoice.java,0,0,0,0
exam,clean_projects,/content/student_repos/clean_projects/exam.java,5,170,23,29,546,818,12,exam.java,0,0,0,0
ImageGreeter,clean_projects,/content/student_repos/clean_projects/ImageGreeter.java,1,5,4,5,19,29,1,ImageGreeter.java,0,0,0,0
DieSimulator,clean_projects,/content/student_repos/clean_projects/DieSimulator.java,1,5,4,5,15,23,1,DieSimulator.java,0,0,0,0
DiceRoller,clean_projects,/content/student_repos/clean_projects/DiceRoller.java,2,74,11,13,114,171,7,DiceRoller.java,0,0,0,0
HelloWorld 2,clean_projects,/content/student_repos/clean_projects/HelloWorld 2.java,1,3,3,3,7,11,1,HelloWorld 2.java,0,0,0,0
MyString,clean_projects,/content/student_repos/clean_projects/MyString.java,9,85,17,20,274,412,6,MyString.java,0,0,0,0
Subarray,clean_projects,/content/student_repos/clean_projects/Subarray.java,2,21,7,9,55,83,4,Subarray.java,0,0,1,0
Banking,clean_projects,/content/student_repos/clean_projects/Banking.java,6,118,17,21,297,445,18,Banking.java,0,0,0,0
Merge_Sort,clean_projects,/content/student_repos/clean_projects/Merge_Sort.java,3,48,12,15,155,233,7,Merge_Sort.java,0,0,0,0
Online_Exam_System,clean_projects,/content/student_repos/clean_projects/Online_Exam_System.java,5,170,23,29,546,818,12,Online_Exam_System.java,0,0,0,0
CalculatorAWT,clean_projects,/content/student_repos/clean_projects/CalculatorAWT.java,4,232,26,32,691,1036,33,CalculatorAWT.java,0,0,1,0
RentalSystem,clean_projects,/content/student_repos/clean_projects/RentalSystem.java,9,47,10,12,94,141,1,RentalSystem.java,0,0,0,0
C4HumanPlayer,clean_projects,/content/student_repos/clean_projects/C4HumanPlayer.java,0,2,1,1,0,1,1,C4HumanPlayer.java,0,0,0,0
MinimumTimeSpecialWriter,clean_projects,/content/student_repos/clean_projects/MinimumTimeSpecialWriter.java,2,22,7,9,53,79,4,MinimumTimeSpecialWriter.java,0,0,0,0
extend_blog,clean_projects,/content/student_repos/clean_projects/extend_blog.java,1,4,3,4,9,14,1,extend_blog.java,0,0,0,0
ConnectFourGame,clean_projects,/content/student_repos/clean_projects/ConnectFourGame.java,0,2,1,1,0,1,1,ConnectFourGame.java,0,0,0,0
C4RandomAIPlayer,clean_projects,/content/student_repos/clean_projects/C4RandomAIPlayer.java,0,2,1,1,0,1,1,C4RandomAIPlayer.java,0,0,0,0
rectangle,clean_projects,/content/student_repos/clean_projects/rectangle.java,2,21,7,8,46,68,7,rectangle.java,0,0,1,0
highScores,clean_projects,/content/student_repos/clean_projects/highScores.java,5,124,16,20,258,388,11,highScores.java,0,0,0,0
appletQuiz,clean_projects,/content/student_repos/clean_projects/appletQuiz.java,5,170,23,29,546,818,12,appletQuiz.java,0,0,1,0
convertree,clean_projects,/content/student_repos/clean_projects/convertree.java,5,285,32,39,1032,1547,24,convertree.java,0,0,0,0
onlineBookStore,clean_projects,/content/student_repos/clean_projects/onlineBookStore.java,5,101,15,19,234,352,6,onlineBookStore.java,0,0,1,0
no-random,clean_projects,/content/student_repos/clean_projects/no-random.java,1,5,4,5,18,26,2,no-random.java,0,0,0,0
LetterPrinter,clean_projects,/content/student_repos/clean_projects/LetterPrinter.java,1,6,4,5,19,28,1,LetterPrinter.java,0,0,0,0
array-and-ekspone-java,clean_projects,/content/student_repos/clean_projects/array-and-ekspone-java.java,1,67,14,17,184,276,14,array-and-ekspone-java.java,0,0,0,0
Linearsearch,clean_projects,/content/student_repos/clean_projects/Linearsearch.java,2,13,6,8,40,59,3,Linearsearch.java,0,0,0,0
FoodieCart,clean_projects,/content/student_repos/clean_projects/FoodieCart.java,1,29,9,11,85,128,1,FoodieCart.java,0,0,0,0
alaram-clock,clean_projects,/content/student_repos/clean_projects/alaram-clock.java,1,7,4,5,19,28,2,alaram-clock.java,0,0,0,0
iz,clean_projects,/content/student_repos/clean_projects/iz.java,1,21,8,9,59,89,4,iz.java,0,0,0,0
Analog Clock,clean_projects,/content/student_repos/clean_projects/Analog Clock.java,5,48,14,17,204,306,2,Analog Clock.java,0,0,0,0
calculator 2,clean_projects,/content/student_repos/clean_projects/calculator 2.java,5,48,10,12,98,148,5,calculator 2.java,0,0,0,0
painting,clean_projects,/content/student_repos/clean_projects/painting.java,3,10,5,6,27,41,1,painting.java,0,0,0,0
Revision,clean_projects,/content/student_repos/clean_projects/Revision.java,1,19,6,7,36,54,4,Revision.java,0,0,0,0
Hailstone,clean_projects,/content/student_repos/clean_projects/Hailstone.java,4,42,10,12,95,142,3,Hailstone.java,0,0,1,0
Check,clean_projects,/content/student_repos/clean_projects/Check.java,5,46,8,10,72,108,3,Check.java,0,0,0,0
ExitListener,clean_projects,/content/student_repos/clean_projects/ExitListener.java,1,4,2,3,6,8,1,ExitListener.java,0,0,0,0
loop,clean_projects,/content/student_repos/clean_projects/loop.java,1,5,4,4,14,20,2,loop.java,0,0,0,0
Java_password_generator,clean_projects,/content/student_repos/clean_projects/Java_password_generator.java,5,58,12,14,139,209,12,Java_password_generator.java,0,0,0,0
rightpyramid,clean_projects,/content/student_repos/clean_projects/rightpyramid.java,2,15,6,7,32,48,3,rightpyramid.java,0,0,0,0
GridLayoutPane,clean_projects,/content/student_repos/clean_projects/GridLayoutPane.java,1,12,7,8,46,70,2,GridLayoutPane.java,0,0,0,0
App,clean_projects,/content/student_repos/clean_projects/App.java,1,3,3,3,8,12,1,App.java,0,0,0,0
TicTacToe,clean_projects,/content/student_repos/clean_projects/TicTacToe.java,4,69,14,17,184,276,14,TicTacToe.java,0,0,1,0
Fibonacci,clean_projects,/content/student_repos/clean_projects/Fibonacci.java,1,21,8,9,59,89,4,Fibonacci.java,0,0,1,0
Board,clean_projects,/content/student_repos/clean_projects/Board.java,13,139,19,23,344,515,10,Board.java,0,0,1,0
Factorial_prime_avg,clean_projects,/content/student_repos/clean_projects/Factorial_prime_avg.java,4,77,12,15,155,232,6,Factorial_prime_avg.java,0,0,1,0
clock,clean_projects,/content/student_repos/clean_projects/clock.java,7,100,18,22,337,506,7,clock.java,0,0,1,1
tipedatajava,clean_projects,/content/student_repos/clean_projects/tipedatajava.java,1,31,10,13,106,159,1,tipedatajava.java,0,0,0,0
arsa,clean_projects,/content/student_repos/clean_projects/arsa.java,1,4,3,4,11,16,1,arsa.java,0,0,0,0
numberGuess,clean_projects,/content/student_repos/clean_projects/numberGuess.java,2,31,8,10,72,108,6,numberGuess.java,0,0,0,0
Cipher,clean_projects,/content/student_repos/clean_projects/Cipher.java,4,64,13,16,168,251,4,Cipher.java,0,0,0,0
RockPaperScissors,clean_projects,/content/student_repos/clean_projects/RockPaperScissors.java,3,53,13,16,171,257,8,RockPaperScissors.java,0,0,0,0
numberpattern,clean_projects,/content/student_repos/clean_projects/numberpattern.java,2,18,6,8,42,64,4,numberpattern.java,0,0,0,0
notes keeping app,clean_projects,/content/student_repos/clean_projects/notes keeping app.java,5,62,12,15,142,214,7,notes keeping app.java,0,0,1,0
inheritance&polymorphism,clean_projects,/content/student_repos/clean_projects/inheritance&polymorphism.java,4,15,6,7,32,47,1,inheritance&polymorphism.java,0,0,0,0
LibraryManagement,clean_projects,/content/student_repos/clean_projects/LibraryManagement.java,17,274,27,33,723,1085,12,LibraryManagement.java,0,0,0,0
school,clean_projects,/content/student_repos/clean_projects/school.java,8,41,11,13,111,167,2,school.java,0,0,0,0
diagonal-matriks,clean_projects,/content/student_repos/clean_projects/diagonal-matriks.java,2,16,7,8,46,70,4,diagonal-matriks.java,0,0,0,0
Zigzag_Conversion,clean_projects,/content/student_repos/clean_projects/Zigzag_Conversion.java,1,16,9,10,73,110,8,Zigzag_Conversion.java,0,0,0,0
FizzBuzz,clean_projects,/content/student_repos/clean_projects/FizzBuzz.java,1,15,6,8,41,61,6,FizzBuzz.java,0,0,1,0
matriks3x3,clean_projects,/content/student_repos/clean_projects/matriks3x3.java,1,26,9,11,74,111,5,matriks3x3.java,0,0,0,0
SnakeGame,clean_projects,/content/student_repos/clean_projects/SnakeGame.java,17,90,13,16,182,272,3,SnakeGame.java,0,0,1,0
CombinationLock,clean_projects,/content/student_repos/clean_projects/CombinationLock.java,5,42,9,11,78,116,4,CombinationLock.java,0,0,0,0
assign_creating a canstant,clean_projects,/content/student_repos/clean_projects/assign_creating a canstant.java,1,6,4,5,16,25,1,assign_creating a canstant.java,0,0,0,0
BankAccount,clean_projects,/content/student_repos/clean_projects/BankAccount.java,5,38,10,12,100,151,3,BankAccount.java,0,0,0,0
qr code generator,clean_projects,/content/student_repos/clean_projects/qr code generator.java,1,15,7,9,50,74,2,qr code generator.java,0,0,0,0
circleArea,clean_projects,/content/student_repos/clean_projects/circleArea.java,1,7,5,6,24,36,1,circleArea.java,0,0,0,0
Reverse_Linked_List,clean_projects,/content/student_repos/clean_projects/Reverse_Linked_List.java,1,10,4,5,18,26,2,Reverse_Linked_List.java,0,0,0,0
Factors,clean_projects,/content/student_repos/clean_projects/Factors.java,1,13,5,6,28,42,3,Factors.java,0,0,0,0
ReverseWords,clean_projects,/content/student_repos/clean_projects/ReverseWords.java,1,15,7,9,48,73,3,ReverseWords.java,0,0,0,0
interface,clean_projects,/content/student_repos/clean_projects/interface.java,4,14,6,7,36,53,1,interface.java,0,0,0,0
Multithreading,clean_projects,/content/student_repos/clean_projects/Multithreading.java,2,11,6,7,32,49,2,Multithreading.java,0,0,0,0
ShipingCostCalculator,clean_projects,/content/student_repos/clean_projects/ShipingCostCalculator.java,1,24,7,9,54,81,3,ShipingCostCalculator.java,0,0,0,0
mineswepper game,clean_projects,/content/student_repos/clean_projects/mineswepper game.java,9,110,18,22,314,470,11,mineswepper game.java,0,0,1,0
lightswitch,clean_projects,/content/student_repos/clean_projects/lightswitch.java,1,41,9,11,82,124,9,lightswitch.java,0,0,0,0
PairTester,clean_projects,/content/student_repos/clean_projects/PairTester.java,1,15,8,10,72,107,1,PairTester.java,0,0,0,0
Saving Account,clean_projects,/content/student_repos/clean_projects/Saving Account.java,7,34,9,11,84,127,2,Saving Account.java,0,0,0,0
Lexico_String,clean_projects,/content/student_repos/clean_projects/Lexico_String.java,2,17,7,9,54,82,4,Lexico_String.java,0,0,0,0
Pair,clean_projects,/content/student_repos/clean_projects/Pair.java,8,25,7,8,44,65,1,Pair.java,0,1,0,0
ArmstrongNumberExample,clean_projects,/content/student_repos/clean_projects/ArmstrongNumberExample.java,1,15,6,7,34,50,3,ArmstrongNumberExample.java,0,0,0,0
UniqueElementsFinder,clean_projects,/content/student_repos/clean_projects/UniqueElementsFinder.java,2,19,8,10,62,94,3,UniqueElementsFinder.java,0,0,0,0
appletComs,clean_projects,/content/student_repos/clean_projects/appletComs.java,2,11,5,7,28,43,1,appletComs.java,0,0,0,0
TopologicalSortGraph,clean_projects,/content/student_repos/clean_projects/TopologicalSortGraph.java,5,44,11,14,132,199,4,TopologicalSortGraph.java,0,0,0,0
Bug3524,clean_projects,/content/student_repos/clean_projects/Bug3524.java,1,8,5,6,27,40,1,Bug3524.java,0,0,0,0
RandomNumberGame,clean_projects,/content/student_repos/clean_projects/RandomNumberGame.java,1,29,9,11,81,121,6,RandomNumberGame.java,0,0,0,0
WiggleSort,clean_projects,/content/student_repos/clean_projects/WiggleSort.java,1,8,7,8,48,72,4,WiggleSort.java,0,0,0,0
assign_bank_mortgage_calc,clean_projects,/content/student_repos/clean_projects/assign_bank_mortgage_calc.java,1,17,8,10,68,103,1,assign_bank_mortgage_calc.java,0,0,0,0
Sparse_Array,clean_projects,/content/student_repos/clean_projects/Sparse_Array.java,2,44,12,15,141,211,4,Sparse_Array.java,0,0,0,0
passowrd&notes,clean_projects,/content/student_repos/clean_projects/passowrd&notes.java,27,475,37,45,1356,2035,31,passowrd&notes.java,0,0,1,1
InsertionSort,clean_projects,/content/student_repos/clean_projects/InsertionSort.java,1,23,9,11,78,117,5,InsertionSort.java,0,0,0,0
Bino,clean_projects,/content/student_repos/clean_projects/Bino.java,6,39,10,12,98,147,2,Bino.java,0,0,0,0
fileexplorer,clean_projects,/content/student_repos/clean_projects/fileexplorer.java,11,144,20,25,406,610,6,fileexplorer.java,0,0,1,0
PalindromeNumber,clean_projects,/content/student_repos/clean_projects/PalindromeNumber.java,1,7,5,6,22,32,2,PalindromeNumber.java,0,0,0,0
Student Management System,clean_projects,/content/student_repos/clean_projects/Student Management System.java,11,97,15,19,231,347,7,Student Management System.java,0,0,1,0
secondEtest,clean_projects,/content/student_repos/clean_projects/secondEtest.java,3,61,10,13,106,160,10,secondEtest.java,0,0,1,0
FlowLayoutPane,clean_projects,/content/student_repos/clean_projects/FlowLayoutPane.java,1,15,7,9,52,77,2,FlowLayoutPane.java,0,0,0,0
OpenWeatherMap,clean_projects,/content/student_repos/clean_projects/OpenWeatherMap.java,1,22,8,10,63,95,3,OpenWeatherMap.java,0,0,0,0
sum,clean_projects,/content/student_repos/clean_projects/sum.java,1,14,6,7,32,48,3,sum.java,0,0,0,0
Method_Array,clean_projects,/content/student_repos/clean_projects/Method_Array.java,0,38,3,74,22,159,1,Method_Array.java,0,0,0,0
headsTails3524,clean_projects,/content/student_repos/clean_projects/headsTails3524.java,1,18,9,11,80,119,11,headsTails3524.java,0,0,0,0
Multithread,clean_projects,/content/student_repos/clean_projects/Multithread.java,2,20,6,7,37,56,2,Multithread.java,0,0,0,0
ReplaceTester,clean_projects,/content/student_repos/clean_projects/ReplaceTester.java,1,4,4,5,15,22,1,ReplaceTester.java,0,0,0,0
assign_sequences,clean_projects,/content/student_repos/clean_projects/assign_sequences.java,1,8,4,6,20,31,1,assign_sequences.java,0,0,0,0
TicTacToeRunner,clean_projects,/content/student_repos/clean_projects/TicTacToeRunner.java,1,33,9,11,79,119,5,TicTacToeRunner.java,0,0,1,0
middleNodeLL,clean_projects,/content/student_repos/clean_projects/middleNodeLL.java,5,40,9,11,79,118,3,middleNodeLL.java,0,0,0,0
Employee,clean_projects,/content/student_repos/clean_projects/Employee.java,11,38,8,10,69,103,1,Employee.java,0,1,0,0
Student,clean_projects,/content/student_repos/clean_projects/Student.java,2,13,6,8,39,58,1,Student.java,0,0,0,0
rating_app_exa,clean_projects,/content/student_repos/clean_projects/rating_app_exa.java,10,73,12,15,144,215,5,rating_app_exa.java,0,0,1,0
BankCustomer,clean_projects,/content/student_repos/clean_projects/BankCustomer.java,9,35,6,7,37,56,1,BankCustomer.java,0,0,0,0
terminal_bar_graph,clean_projects,/content/student_repos/clean_projects/terminal_bar_graph.java,1,27,10,12,98,146,6,terminal_bar_graph.java,0,0,0,0
DomesticFlight,clean_projects,/content/student_repos/clean_projects/DomesticFlight.java,6,238,27,34,755,1133,16,DomesticFlight.java,0,0,0,1
Harness,clean_projects,/content/student_repos/clean_projects/Harness.java,0,2,1,1,0,1,1,Harness.java,0,0,0,0
space-invader-game,clean_projects,/content/student_repos/clean_projects/space-invader-game.java,12,118,18,22,326,489,8,space-invader-game.java,0,0,1,0
decToBin,clean_projects,/content/student_repos/clean_projects/decToBin.java,2,17,7,8,45,67,2,decToBin.java,0,0,0,0
textEditor,clean_projects,/content/student_repos/clean_projects/textEditor.java,7,179,23,28,537,806,16,textEditor.java,1,0,1,0
NimGame,clean_projects,/content/student_repos/clean_projects/NimGame.java,1,50,12,15,152,229,8,NimGame.java,0,0,0,0
Calculator_frame,clean_projects,/content/student_repos/clean_projects/Calculator_frame.java,14,170,24,30,584,875,17,Calculator_frame.java,0,0,1,0
FunWithDates,clean_projects,/content/student_repos/clean_projects/FunWithDates.java,1,13,8,9,60,90,1,FunWithDates.java,0,0,0,0
noughtsAndCrosses,clean_projects,/content/student_repos/clean_projects/noughtsAndCrosses.java,7,81,14,18,205,308,3,noughtsAndCrosses.java,0,0,1,0
ComboLockTester,clean_projects,/content/student_repos/clean_projects/ComboLockTester.java,1,35,9,11,80,121,7,ComboLockTester.java,0,0,1,0
SimpleThread,clean_projects,/content/student_repos/clean_projects/SimpleThread.java,2,12,6,7,35,52,3,SimpleThread.java,0,0,0,0
PhoneticSearchSoundexAlgorithm,clean_projects,/content/student_repos/clean_projects/PhoneticSearchSoundexAlgorithm.java,2,64,11,14,129,194,23,PhoneticSearchSoundexAlgorithm.java,0,0,1,0
PasswordGenerator,clean_projects,/content/student_repos/clean_projects/PasswordGenerator.java,1,29,10,12,104,155,3,PasswordGenerator.java,0,0,0,0
Travelling Salesman Problem,clean_projects,/content/student_repos/clean_projects/Travelling Salesman Problem.java,2,34,10,13,108,162,6,Travelling Salesman Problem.java,0,0,1,0
MatrixPatterns,clean_projects,/content/student_repos/clean_projects/MatrixPatterns.java,1,174,21,26,450,674,52,MatrixPatterns.java,0,0,0,0
miniCalculator,clean_projects,/content/student_repos/clean_projects/miniCalculator.java,1,44,11,13,116,174,7,miniCalculator.java,0,0,0,0
Calc,clean_projects,/content/student_repos/clean_projects/Calc.java,1,32,8,10,72,107,5,Calc.java,0,0,1,0
digitalWatch3524,clean_projects,/content/student_repos/clean_projects/digitalWatch3524.java,3,47,13,16,164,246,11,digitalWatch3524.java,0,0,0,0
url,clean_projects,/content/student_repos/clean_projects/url.java,3,37,11,13,111,166,4,url.java,0,0,0,0
Hospital_scrapper,clean_projects,/content/student_repos/clean_projects/Hospital_scrapper.java,16,137,18,23,342,513,10,Hospital_scrapper.java,0,0,0,0
TemperatureConverter,clean_projects,/content/student_repos/clean_projects/TemperatureConverter.java,1,15,7,8,47,70,2,TemperatureConverter.java,0,0,0,0
Connect4Grid2DArray,clean_projects,/content/student_repos/clean_projects/Connect4Grid2DArray.java,7,87,19,24,370,555,25,Connect4Grid2DArray.java,0,0,1,0
Library Management,clean_projects,/content/student_repos/clean_projects/Library Management.java,11,92,15,18,222,332,7,Library Management.java,0,0,1,0
snakeWaterGun,clean_projects,/content/student_repos/clean_projects/snakeWaterGun.java,1,80,14,17,198,296,17,snakeWaterGun.java,0,0,1,0
Intersection_Of_TwoArrays,clean_projects,/content/student_repos/clean_projects/Intersection_Of_TwoArrays.java,1,32,10,12,99,148,6,Intersection_Of_TwoArrays.java,0,0,0,0
Heapsort,clean_projects,/content/student_repos/clean_projects/Heapsort.java,4,50,12,15,155,232,6,Heapsort.java,0,0,1,0
ElectricVehicleRunningTime,clean_projects,/content/student_repos/clean_projects/ElectricVehicleRunningTime.java,1,10,6,8,42,63,2,ElectricVehicleRunningTime.java,0,0,0,0
AllPaths,clean_projects,/content/student_repos/clean_projects/AllPaths.java,2,39,12,15,148,221,9,AllPaths.java,0,0,0,0
Dollar,clean_projects,/content/student_repos/clean_projects/Dollar.java,1,17,7,9,55,83,12,Dollar.java,0,0,0,0
